requirement_id,capability_family,requirement_summary,source_doc,epic_id,plan_steps,scope,acceptance_criteria_ids,dependencies,owner,status
REQ-001,Meta Model,"Support canonical fact sheet types and relationships",docs/MODEL.md,EP-MODEL-001,"3.1;3.2;3.3;3.4;3.5",MVP,"AC-MODEL-001;AC-MODEL-002",EP-PLATFORM-001,Architecture,baselined
REQ-002,Fact Sheets,"Create and edit core fact sheets in inventory",docs/USER-GUIDE.md,EP-FACT-001,"5.1;5.2;5.3;5.4;5.5;5.6;5.7;5.8;5.9;5.10;9.1;9.2;9.3",MVP,"AC-FACT-001;AC-FACT-002",EP-ID-001;EP-MODEL-001,Product,baselined
REQ-003,Fact Sheets,"Filter and search fact sheets by type, owner, tags, lifecycle",docs/USER-GUIDE.md,EP-FACT-002,"6.2;6.3;9.6",MVP,"AC-FACT-010;AC-FACT-011",EP-FACT-001,Product,baselined
REQ-004,UAM,"Provide role-based access with standard and custom roles",docs/UAM.md,EP-ID-001,"3.8;4.2;4.3;10.5",MVP,"AC-ID-001;AC-ID-002",EP-PLATFORM-001,Security,baselined
REQ-005,UAM,"Support technical users and API token lifecycle",docs/UAM.md,EP-ID-002,"10.4",MVP,"AC-ID-010;AC-ID-011",EP-ID-001,Security,baselined
REQ-006,UAM,"Support SSO using SAML and lifecycle sync using SCIM",docs/UAM.md,EP-ID-003,"14.1;14.2",Post-MVP,"AC-ID-020;AC-ID-021",EP-ID-001,Security,baselined
REQ-007,Admin,"Configure workspace governance including tagging and subscriptions",docs/ADMIN.md,EP-ADMIN-001,"11.1;11.2",MVP,"AC-ADMIN-001;AC-ADMIN-002",EP-ID-001,Operations,baselined
REQ-008,Integrations,"Deliver REST APIs for core inventory and settings operations",docs/DEVELOPER.md,EP-INT-001,"4.1;5.1;5.2;5.3;5.4;5.5;5.6;5.7;5.8;5.9;5.10",MVP,"AC-INT-001;AC-INT-002",EP-PLATFORM-001;EP-ID-002,Platform,baselined
REQ-009,Integrations,"Deliver GraphQL endpoint for fact sheet and report queries",docs/DEVELOPER.md,EP-INT-002,"12.2",MVP,"AC-INT-010;AC-INT-011",EP-FACT-001;EP-REPORT-001,Platform,baselined
REQ-010,Integrations,"Deliver outbound webhooks with retry and logging",docs/DEVELOPER.md,EP-INT-003,"12.3",MVP,"AC-INT-020;AC-INT-021",EP-PLATFORM-001,Platform,baselined
REQ-011,Reporting,"Provide dashboard and use-case aligned reporting views",docs/USE-CASES.md,EP-REPORT-001,"8.1;13.1",MVP,"AC-REPORT-001;AC-REPORT-002",EP-FACT-001;EP-INT-002,Product,baselined
REQ-012,Roadmap,"Support strategic initiative planning with timeline visibility",docs/USE-CASES.md,EP-ROADMAP-001,"5.4;8.6;13.5",MVP,"AC-ROADMAP-001;AC-ROADMAP-002",EP-FACT-001,Product,baselined
REQ-013,Automation,"Support rule-based automation and notification workflows",docs/ADMIN.md,EP-AUTO-001,"15.1",Post-MVP,"AC-AUTO-001;AC-AUTO-002",EP-INT-003,Platform,baselined
REQ-014,Data Migration,"Replace static sample data with persistent API-backed model",docs/PLAN.md,EP-PLATFORM-002,"7.2;3.9",MVP,"AC-PLATFORM-010;AC-PLATFORM-011",EP-PLATFORM-001,Architecture,baselined
REQ-015,Architecture,"Evaluate and select target tech stack with documented ADRs",docs/ARCHITECTURE.md,EP-PLATFORM-001,"1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;2.1;2.2;2.3;2.4;2.5;2.6",MVP,"AC-PLATFORM-001;AC-PLATFORM-002",none,Architecture,baselined
REQ-016,Security,"Capture immutable audit trail for mutation events",docs/ADMIN.md,EP-SEC-001,"3.7;4.4",MVP,"AC-SEC-001;AC-SEC-002",EP-ID-001;EP-PLATFORM-001,Security,baselined
REQ-017,Use Cases,"Enable application rationalization workflow support",docs/USE-CASES.md,EP-REPORT-002,"13.2",MVP,"AC-REPORT-010;AC-REPORT-011",EP-REPORT-001;EP-FACT-002,Product,baselined
REQ-018,Use Cases,"Enable modernization and transformation scenario modeling",docs/USE-CASES.md,EP-TRANSFORM-001,"15.2",Post-MVP,"AC-TRANSFORM-001;AC-TRANSFORM-002",EP-ROADMAP-001;EP-REPORT-001,Product,baselined
REQ-019,Admin,"Support workspace branding and settings management",docs/ADMIN.md,EP-ADMIN-001,"11.1",MVP,"AC-ADMIN-003;AC-ADMIN-004",EP-ID-001,Operations,baselined
REQ-020,Admin,"Support maintenance mode with admin-only access",docs/ADMIN.md,EP-ADMIN-001,"15.5",Post-MVP,"AC-ADMIN-020;AC-ADMIN-021",EP-ID-001,Operations,baselined
REQ-021,UAM,"Support user invite and lifecycle status transitions",docs/UAM.md,EP-ID-001,"10.1;10.3",MVP,"AC-ID-003;AC-ID-004",EP-PLATFORM-001,Security,baselined
